"customer_id","customer_name","contact","email_id","discount"
"1","Michelle","8123451231","michelle@indiana.edu","10"
"2","Aaron","8123331551","aaron@indiana.edu","15"
"3","Albert","8123331552","albert@indiana.edu","10"
"4","Abbie","8123331553","abbie@indiana.edu","15"
"5","Alec","8123331554","alec@indiana.edu","10"
"6","Alexander","8123331555","alexander@indiana.edu","10"
"7","Allison","3451198892","allison@gmail.com","0"
"8","Martin","4533331554","martin@gmail.com","0"
"9","Marcin","4532221554","marcin@gmail.com","0"
"10","Ron","8793331554","ron@indiana.edu","10"
