"employee_id","employee_type","employee_name","contact_num","address","email_id","payrate"
"1","Temporary","Supreeth","8123498740","577 W Amaryllis Dr","sushivan@indiana.edu","10"
"2","Temporary","Harish","8123498799","575 W Amaryllis Dr","harish@indiana.edu","10"
"3","Temporary","Aditya","8123491123","574 W Amaryllis Dr","aditya@indiana.edu","10"
"4","Temporary","Raghuveer","8123282923","574 W Amaryllis Dr","raghu@indiana.edu","10"
"5","Temporary","Abhinandan","8123491123","572 W Amaryllis Dr","abhi@indiana.edu","10"
"6","Temporary","Thanmai","8121291123","572 W Amaryllis Dr","thanmai@indiana.edu","10"
"7","FullTime","Manikandan","8129981123","123 Hoosier Dr","mani@indiana.edu","17"
"8","FullTime","Sirshak","81232221123","234 Hoosier Dr","sirshak@indiana.edu","20"
"9","FullTime","Michael Scofield","8129891123","234 Hoosier Dr","michael@indiana.edu","16"
"10","FullTime","Sarah Thomson","8127881123","900 Hoosier Dr","sarah@indiana.edu","21"
"11","FullTime","Judy Lerner","8126771123","677 Hoosier Dr","judy@indiana.edu","15"
"12","FullTime","Katy","8128991123","833 Hoosier Dr","katy@indiana.edu","15"
"13","FullTime","Laura Johnson","8123332123","456 Indiana Ave","laura@indiana.edu","19"
